sys_idx,notch_idx,dia_idx,systolic_amp,notch_amp,diastolic_amp,systolic_time,notch_time,diastolic_time,rise_time,pulse_width,heart_rate,beat_idx,R_ratio,SpO2_est
144,237,,157.05248761922925,-128.6409130613768,,0.288,0.474,,0.186,,106.76156583629893,0,0.8885055416854878,87.7873614578628
425,519,,128.73374258396032,-131.97752079684977,,0.85,1.038,,0.18800000000000006,,107.91366906474819,1,0.8572904739447954,88.56773815138011
703,804,,281.44645719356646,-263.2873180158535,,1.406,1.608,,0.20200000000000018,,114.06844106463878,2,1.1511385050048193,81.22153737487952
966,1057,,123.91410830013075,-160.10506886169736,,1.932,2.114,,0.18199999999999994,,107.14285714285714,3,1.16466927687014,80.8832680782465
1246,1342,1417.0,150.1217739825266,-155.81177218259407,-12.81979212475222,2.492,2.684,2.834,0.19200000000000017,0.3420000000000001,98.36065573770492,4,0.9286690730328082,86.7832731741798
1551,1633,1704.0,126.66445800680307,-88.46240453513211,-9.356814884469731,3.102,3.266,3.408,0.16400000000000015,0.30600000000000005,110.7011070110701,5,0.9794412896453205,85.51396775886698
1822,1909,1956.0,131.15083465201135,-80.10707144541367,-62.534811646038285,3.644,3.818,3.912,0.17399999999999993,0.2679999999999998,109.09090909090908,6,1.3718198759945794,75.70450310013551
2097,2198,,168.57523912200426,-108.34624701295166,,4.194,4.396,,0.20199999999999996,,110.7011070110701,7,0.7709401786971399,90.7264955325715
2368,2462,,137.7711952327434,-153.52819723036723,,4.736,4.924,,0.1880000000000006,,108.69565217391303,8,0.7552093306039055,91.11976673490236
2644,2735,2843.0,114.43588112573042,-93.6283087132235,30.174239086545406,5.288,5.47,5.686,0.1819999999999995,0.3979999999999997,95.84664536741214,9,0.8044563084563267,89.88859228859184
2957,3031,3104.0,41.30508068596063,-72.92174511258149,10.065514215872414,5.914,6.062,6.208,0.14800000000000058,0.2940000000000005,104.16666666666667,10,0.5200575376012528,96.99856155996868
3245,3327,3380.0,100.92330011254361,-59.752992254436236,-42.73977107285075,6.49,6.654,6.76,0.1639999999999997,0.2699999999999996,102.73972602739727,11,0.6486958465120553,93.78260383719862
3537,3632,,122.53161940201004,-96.85200406181711,,7.074,7.264,,0.1900000000000004,,104.16666666666667,12,0.3710623871361425,100.72344032159644
3825,3920,4042.0,126.51670450164147,-141.99398531887317,41.93231713351851,7.65,7.84,8.084,0.1899999999999995,0.4339999999999993,95.23809523809524,13,-0.52790712751835,123.19767818795876
4140,4219,4290.0,82.63846404173326,-89.76202622665063,-2.5267172992556723,8.28,8.438,8.58,0.15800000000000125,0.3000000000000007,99.66777408637874,14,1.3246670444866695,76.88332388783326
4441,4530,,135.58395982143813,-86.30419425609597,,8.882,9.06,,0.17800000000000082,,100.67114093959732,15,0.9020537074981413,87.44865731254647
4739,4836,,172.81426245793014,-185.52127169773823,,9.478,9.672,,0.19400000000000084,,100.33444816053512,16,0.12140834354660605,106.96479141133484
5038,5138,5212.0,141.29052982590323,-137.3463684951936,-6.923650720233967,10.076,10.276,10.424,0.1999999999999993,0.347999999999999,92.5925925925926,17,0.9439881504950266,86.40029623762433
5362,5455,,185.43131860102324,-137.61973883293496,,10.724,10.91,,0.18599999999999994,,102.38907849829351,18,0.8867319182680945,87.83170204329764
5655,5752,,240.94765778958273,-243.066032427488,,11.31,11.504,,0.19399999999999906,,97.0873786407767,19,0.7000087270646488,92.49978182338378
5964,6058,6138.0,184.47409025029324,-160.51863159762985,-7.706909565562925,11.928,12.116,12.276,0.18799999999999883,0.347999999999999,96.15384615384616,20,0.27791649757706477,103.05208756057338
6276,6370,,208.82890418588707,-200.5856023181965,,12.552,12.74,,0.1880000000000006,,104.89510489510491,21,0.5907324411036398,95.231688972409
6562,6658,,299.9119582917711,-308.94627944273867,,13.124,13.316,,0.19200000000000017,,108.30324909747291,22,1.3595662839089744,76.01084290227564
6839,6946,7032.0,247.86363066843975,-228.33377064581947,-54.52723133350528,13.678,13.892,14.064,0.21399999999999864,0.38599999999999923,88.23529411764706,23,1.087394129105955,82.81514677235113
