sys_idx,notch_idx,dia_idx,systolic_amp,notch_amp,diastolic_amp,systolic_time,notch_time,diastolic_time,rise_time,pulse_width,heart_rate,beat_idx,R_ratio,SpO2_est
332,432,,369.4907715910731,-368.6841390533573,,0.664,0.864,,0.19999999999999996,,72.63922518159806,0,1.0034336164398918,84.91415958900271
745,845,928.0,380.3931955883601,-336.71966270092287,-169.70064101744103,1.49,1.69,1.856,0.19999999999999996,0.3660000000000001,70.4225352112676,1,1.0358218679608595,84.10445330097852
1171,1273,,406.83019751005156,-357.30545390592255,,2.342,2.546,,0.20399999999999974,,67.26457399103138,2,0.9484545300724744,86.28863674818814
1617,1719,,398.42888121006115,-343.34941531668073,,3.234,3.438,,0.20400000000000018,,70.4225352112676,3,1.088888613811129,82.77778465472178
2043,2142,2219.0,344.83368829879106,-318.220044860654,-145.4793216264527,4.086,4.284,4.438,0.1979999999999995,0.3519999999999994,70.4225352112676,4,0.9023626017473032,87.44093495631742
2469,2571,,357.35749128132113,-334.1118088898745,,4.938,5.142,,0.20400000000000063,,69.44444444444444,5,1.1211964503200118,81.9700887419997
2901,3004,,393.2627887477708,-347.9494796293672,,5.802,6.008,,0.2060000000000004,,70.09345794392523,6,0.9735926135341865,85.66018466164533
3329,3428,3507.0,380.566992116107,-333.6552085561377,-155.12687842619616,6.658,6.856,7.014,0.1979999999999995,0.35599999999999987,74.25742574257426,7,1.1155320263113955,82.11169934221512
3733,3831,3909.0,360.93560564783155,-343.01254416381124,-144.25444655002133,7.466,7.662,7.818,0.19599999999999973,0.3519999999999994,75.0,8,0.9954503922910358,85.11374019272411
4133,4234,,401.66333614784656,-367.14904829524363,,8.266,8.468,,0.20199999999999996,,72.81553398058253,9,0.8777635139449109,88.05591215137723
4545,4645,,418.76911291874956,-378.47547547315963,,9.09,9.29,,0.1999999999999993,,73.89162561576354,10,0.9998106347133026,85.00473413216744
4951,5047,,401.5340241259299,-371.21351278828615,,9.902,10.094,,0.19200000000000017,,81.9672131147541,11,1.0254560082900983,84.36359979274755
5317,5411,5492.0,366.69907475970774,-345.568427501958,-100.74828076273012,10.634,10.822,10.984,0.18799999999999883,0.34999999999999964,81.30081300813008,12,0.925452450495085,86.86368873762288
5686,5780,5858.0,374.0085061714374,-364.13219863117655,-121.26680196956482,11.372,11.56,11.716,0.1880000000000006,0.3439999999999994,77.92207792207792,13,0.9971584285804763,85.0710392854881
6071,6164,6241.0,373.95598369595365,-369.411069935799,-121.83228478623079,12.142,12.328,12.482,0.18599999999999994,0.33999999999999986,77.51937984496124,14,-0.7292699971905784,128.23174992976445
6458,6550,6625.0,366.62438552516755,-372.4935355699899,-123.68627274855245,12.916,13.1,13.25,0.18399999999999928,0.33399999999999963,76.14213197969544,15,0.9450360518297282,86.3740987042568
6852,6948,,412.33912329996843,-409.82049993396674,,13.704,13.896,,0.19200000000000017,,73.17073170731707,16,0.9488320839087349,86.27919790228162
7262,7360,,437.30645569010613,-416.2274389300395,,14.524,14.72,,0.1960000000000015,,71.25890736342043,17,0.7443208792601604,91.39197801849599
7683,7779,7869.0,450.5395140670438,-398.67254301048837,-173.66187895893972,15.366,15.558,15.738,0.19200000000000017,0.3719999999999999,72.46376811594203,18,1.0421268949728162,83.94682762567959
8097,8191,8266.0,380.18246486630727,-372.4644224891416,-129.57312313475313,16.194,16.382,16.532,0.1880000000000024,0.33800000000000097,77.31958762886597,19,0.9188506700124748,87.02873324968813
8485,8584,,401.9193000298387,-387.54980660429175,,16.97,17.168,,0.1980000000000004,,73.17073170731707,20,1.0268881737029099,84.32779565742726
8895,8996,,453.11687262276195,-412.1727050843845,,17.79,17.992,,0.20200000000000173,,69.76744186046511,21,0.8878428214643549,87.80392946339113
9325,9424,,447.49403865398114,-394.75313629952706,,18.65,18.848,,0.1980000000000004,,71.42857142857143,22,1.105576165365836,82.3605958658541
9745,9839,9913.0,382.12061305227314,-368.0205621199027,-146.36764236863752,19.49,19.678,19.826,0.1880000000000024,0.3360000000000021,73.89162561576354,23,0.9363895384473736,86.59026153881567
10151,10250,,405.6570991031655,-394.85143980224103,,20.302,20.5,,0.1980000000000004,,70.92198581560284,24,0.9731311390142461,85.67172152464384
10574,10674,,448.84255586199646,-411.293571521949,,21.148,21.348,,0.1999999999999993,,69.44444444444444,25,0.984347698006923,85.39130754982693
11006,11101,11178.0,418.339444679849,-398.40790621132845,-165.59717660302303,22.012,22.202,22.356,0.19000000000000128,0.3440000000000012,72.99270072992701,26,1.0194986349816315,84.51253412545921
11417,11513,11596.0,423.27683930977076,-420.3595215300524,-177.39854313644565,22.834,23.026,23.192,0.19200000000000017,0.35800000000000054,70.09345794392523,27,1.030409791230357,84.23975521924108
11845,11944,,471.7223132340926,-444.13340876762544,,23.69,23.888,,0.1980000000000004,,67.72009029345372,28,0.8594983770969165,88.51254057257708
12288,12386,,478.263590095346,-436.9869173026388,,24.576,24.772,,0.19599999999999795,,70.58823529411765,29,1.0164772833495677,84.58806791626081
12713,12807,12881.0,405.08038166062346,-396.7291962702503,-136.14168620946694,25.426,25.614,25.762,0.1880000000000024,0.3360000000000021,74.81296758104737,30,1.9934118188721757,60.16470452819561
13114,13210,13295.0,414.4791268238118,-400.6298627891918,-155.7161603587587,26.228,26.42,26.59,0.19200000000000017,0.3619999999999983,75.37688442211055,31,1.026386390402899,84.34034023992753
13512,13607,,389.99353231830816,-370.49924338991497,,27.024,27.214,,0.18999999999999773,,78.53403141361257,32,1.0681103081081604,83.29724229729598
13894,13990,,355.51402734761206,-339.06274948209193,,27.788,27.98,,0.19200000000000017,,77.31958762886597,33,0.9738285885515591,85.65428528621102
14282,14379,,348.59685375688457,-332.2699991424145,,28.564,28.758,,0.19399999999999906,,75.94936708860759,34,0.7928692918389968,90.17826770402507
14677,14770,14848.0,309.88843766481386,-308.52884606393485,-112.12728970358238,29.354,29.54,29.696,0.18599999999999994,0.3420000000000023,79.57559681697613,35,0.9856721309466332,85.35819672633417
15054,15152,,307.27954202734986,-281.5142795023727,,30.108,30.304,,0.19599999999999795,,77.51937984496124,36,1.0380971684011968,84.04757078997008
15441,15544,,301.41169055879743,-237.82270785307958,,30.882,31.088,,0.20599999999999952,,75.94936708860759,37,1.0340198723414233,84.14950319146442
15836,15937,,243.3837099095266,-169.58023175388348,,31.672,31.874,,0.20199999999999818,,73.89162561576354,38,0.9201150240459663,86.99712439885084
16242,16341,16404.0,203.73172594563312,-124.97547070182569,-82.60285088121506,32.484,32.682,32.808,0.1980000000000004,0.32399999999999807,74.25742574257426,39,1.232453229820982,79.18866925447546
16646,16739,16810.0,157.41526321952728,-111.63984052030234,-54.62363807044062,33.292,33.478,33.62,0.18599999999999994,0.32799999999999585,74.81296758104737,40,0.7692665615937255,90.76833596015686
17047,17137,17204.0,120.0342680678084,-114.77335162436478,-46.72662979866529,34.094,34.274,34.408,0.17999999999999972,0.31400000000000006,77.51937984496124,41,1.0981041901472137,82.54739524631965
17434,17526,17598.0,145.00873026494742,-127.2236595326415,-61.501952895591586,34.868,35.052,35.196,0.1839999999999975,0.32799999999999585,79.15567282321899,42,1.2157512343891304,79.60621914027175
